date,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,new_cases,new_deaths,total_cases,total_deaths
2020-01-22,Anhui,China,1/22/2020 17:00,1,0,0,32,0,310,6
2020-01-22,Beijing,China,1/22/2020 17:00,14,0,0,32,0,310,6
2020-01-22,Chongqing,China,1/22/2020 17:00,6,0,0,32,0,310,6
2020-01-22,Fujian,China,1/22/2020 17:00,1,0,0,32,0,310,6
2020-01-22,Gansu,China,1/22/2020 17:00,0,0,0,32,0,310,6
2020-01-22,Guangdong,China,1/22/2020 17:00,26,0,0,32,0,310,6
2020-01-22,Guangxi,China,1/22/2020 17:00,2,0,0,32,0,310,6
2020-01-22,Guizhou,China,1/22/2020 17:00,1,0,0,32,0,310,6
2020-01-22,Hainan,China,1/22/2020 17:00,4,0,0,32,0,310,6
2020-01-22,Hebei,China,1/22/2020 17:00,1,0,0,32,0,310,6
2020-01-22,Heilongjiang,China,1/22/2020 17:00,0,0,0,32,0,310,6
2020-01-22,Henan,China,1/22/2020 17:00,5,0,0,32,0,310,6
2020-01-22,Hubei,China,1/22/2020 17:00,444,17,28,32,0,310,6
2020-01-22,Hunan,China,1/22/2020 17:00,4,0,0,32,0,310,6
2020-01-22,Inner Mongolia,China,1/22/2020 17:00,0,0,0,32,0,310,6
2020-01-22,Jiangsu,China,1/22/2020 17:00,1,0,0,32,0,310,6
2020-01-22,Jiangxi,China,1/22/2020 17:00,2,0,0,32,0,310,6
2020-01-22,Jilin,China,1/22/2020 17:00,0,0,0,32,0,310,6
2020-01-22,Liaoning,China,1/22/2020 17:00,2,0,0,32,0,310,6
2020-01-22,Ningxia,China,1/22/2020 17:00,1,0,0,32,0,310,6
2020-01-22,Qinghai,China,1/22/2020 17:00,0,0,0,32,0,310,6
2020-01-22,Shaanxi,China,1/22/2020 17:00,0,0,0,32,0,310,6
2020-01-22,Shandong,China,1/22/2020 17:00,2,0,0,32,0,310,6
2020-01-22,Shanghai,China,1/22/2020 17:00,9,0,0,32,0,310,6
2020-01-22,Shanxi,China,1/22/2020 17:00,1,0,0,32,0,310,6
2020-01-22,Sichuan,China,1/22/2020 17:00,5,0,0,32,0,310,6
2020-01-22,Tianjin,China,1/22/2020 17:00,4,0,0,32,0,310,6
2020-01-22,Tibet,China,1/22/2020 17:00,0,0,0,32,0,310,6
2020-01-22,Xinjiang,China,1/22/2020 17:00,0,0,0,32,0,310,6
2020-01-22,Yunnan,China,1/22/2020 17:00,1,0,0,32,0,310,6
2020-01-22,Zhejiang,China,1/22/2020 17:00,10,0,0,32,0,310,6
2020-01-22,Hong Kong,Hong Kong,1/22/2020 17:00,0,0,0,0,0,0,0
2020-01-22,Macau,Macau,1/22/2020 17:00,1,0,0,0,0,0,0
2020-01-22,Taiwan,Taiwan,1/22/2020 17:00,1,0,0,0,0,0,0
2020-01-22,Washington,United States,1/22/2020 17:00,1,0,0,0,0,0,0
2020-01-22,Unknown,Japan,1/22/2020 17:00,2,0,0,0,0,1,0
2020-01-22,Unknown,Thailand,1/22/2020 17:00,2,0,0,0,0,2,0
2020-01-22,Unknown,South Korea,1/22/2020 17:00,1,0,0,0,0,1,0
2020-01-23,Anhui,China,1/23/20 17:00,9,0,0,264,11,574,17
2020-01-23,Beijing,China,1/23/20 17:00,22,0,0,264,11,574,17
2020-01-23,Chongqing,China,1/23/20 17:00,9,0,0,264,11,574,17
2020-01-23,Fujian,China,1/23/20 17:00,5,0,0,264,11,574,17
2020-01-23,Gansu,China,1/23/20 17:00,2,0,0,264,11,574,17
2020-01-23,Guangdong,China,1/23/20 17:00,32,0,2,264,11,574,17
2020-01-23,Guangxi,China,1/23/20 17:00,5,0,0,264,11,574,17
2020-01-23,Guizhou,China,1/23/20 17:00,3,0,0,264,11,574,17
2020-01-23,Hainan,China,1/23/20 17:00,5,0,0,264,11,574,17
2020-01-23,Hebei,China,1/23/20 17:00,1,1,0,264,11,574,17
2020-01-23,Heilongjiang,China,1/23/20 17:00,2,0,0,264,11,574,17
2020-01-23,Henan,China,1/23/20 17:00,5,0,0,264,11,574,17
2020-01-23,Hubei,China,1/23/20 17:00,444,17,28,264,11,574,17
2020-01-23,Hunan,China,1/23/20 17:00,9,0,0,264,11,574,17
2020-01-23,Inner Mongolia,China,1/23/20 17:00,0,0,0,264,11,574,17
2020-01-23,Jiangsu,China,1/23/20 17:00,5,0,0,264,11,574,17
